[2026-04-03T01:02:01.058+0600][5.129s][info][gc,heap     ] GC(12) Eden regions: 168->0(168)
[2026-04-03T01:02:01.058+0600][5.129s][info][gc,heap     ] GC(12) Survivor regions: 25->25(25)
[2026-04-03T01:02:01.058+0600][5.129s][info][gc,heap     ] GC(12) Old regions: 57->70
[2026-04-03T01:02:01.058+0600][5.129s][info][gc,heap     ] GC(12) Humongous regions: 0->0
[2026-04-03T01:02:01.058+0600][5.129s][info][gc,metaspace] GC(12) Metaspace: 8876K(9088K)->8876K(9088K) NonClass: 8032K(8128K)->8032K(8128K) Class: 843K(960K)->843K(960K)
[2026-04-03T01:02:01.058+0600][5.129s][info][gc          ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 498M->188M(644M) 29.195ms
[2026-04-03T01:02:01.058+0600][5.129s][info][gc,cpu      ] GC(12) User=0.28s Sys=0.00s Real=0.03s
[2026-04-03T01:02:01.440+0600][5.511s][info][gc,start    ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T01:02:01.440+0600][5.511s][info][gc,task     ] GC(13) Using 10 workers of 10 for evacuation
[2026-04-03T01:02:01.471+0600][5.542s][info][gc,phases   ] GC(13)   Pre Evacuate Collection Set: 0.16ms
[2026-04-03T01:02:01.471+0600][5.542s][info][gc,phases   ] GC(13)   Merge Heap Roots: 0.06ms
[2026-04-03T01:02:01.471+0600][5.542s][info][gc,phases   ] GC(13)   Evacuate Collection Set: 27.59ms
[2026-04-03T01:02:01.471+0600][5.542s][info][gc,phases   ] GC(13)   Post Evacuate Collection Set: 2.78ms
[2026-04-03T01:02:01.471+0600][5.542s][info][gc,phases   ] GC(13)   Other: 0.09ms
[2026-04-03T01:02:01.471+0600][5.542s][info][gc,heap     ] GC(13) Eden regions: 168->0(267)
[2026-04-03T01:02:01.471+0600][5.542s][info][gc,heap     ] GC(13) Survivor regions: 25->24(25)
[2026-04-03T01:02:01.471+0600][5.542s][info][gc,heap     ] GC(13) Old regions: 70->83
[2026-04-03T01:02:01.471+0600][5.542s][info][gc,heap     ] GC(13) Humongous regions: 0->0
[2026-04-03T01:02:01.471+0600][5.542s][info][gc,metaspace] GC(13) Metaspace: 8877K(9088K)->8877K(9088K) NonClass: 8033K(8128K)->8033K(8128K) Class: 843K(960K)->843K(960K)
[2026-04-03T01:02:01.471+0600][5.542s][info][gc          ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 524M->210M(970M) 30.917ms
[2026-04-03T01:02:01.471+0600][5.542s][info][gc,cpu      ] GC(13) User=0.28s Sys=0.00s Real=0.03s
[2026-04-03T01:02:02.354+0600][6.425s][info][gc,start    ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T01:02:02.354+0600][6.425s][info][gc,task     ] GC(14) Using 10 workers of 10 for evacuation
[2026-04-03T01:02:02.392+0600][6.463s][info][gc,phases   ] GC(14)   Pre Evacuate Collection Set: 0.20ms
[2026-04-03T01:02:02.392+0600][6.463s][info][gc,phases   ] GC(14)   Merge Heap Roots: 0.19ms
[2026-04-03T01:02:02.392+0600][6.463s][info][gc,phases   ] GC(14)   Evacuate Collection Set: 35.47ms
[2026-04-03T01:02:02.392+0600][6.463s][info][gc,phases   ] GC(14)   Post Evacuate Collection Set: 1.30ms
[2026-04-03T01:02:02.392+0600][6.463s][info][gc,phases   ] GC(14)   Other: 0.15ms
