[2026-04-03T06:30:05.573+0600][5.401s][info][gc,heap     ] GC(12) Survivor regions: 24->24(24)
[2026-04-03T06:30:05.573+0600][5.401s][info][gc,heap     ] GC(12) Old regions: 55->67
[2026-04-03T06:30:05.573+0600][5.401s][info][gc,heap     ] GC(12) Humongous regions: 0->0
[2026-04-03T06:30:05.573+0600][5.401s][info][gc,metaspace] GC(12) Metaspace: 8870K(9088K)->8870K(9088K) NonClass: 8026K(8128K)->8026K(8128K) Class: 843K(960K)->843K(960K)
[2026-04-03T06:30:05.573+0600][5.401s][info][gc          ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 489M->180M(638M) 29.281ms
[2026-04-03T06:30:05.573+0600][5.401s][info][gc,cpu      ] GC(12) User=0.27s Sys=0.00s Real=0.02s
[2026-04-03T06:30:05.914+0600][5.742s][info][gc,start    ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T06:30:05.914+0600][5.743s][info][gc,task     ] GC(13) Using 10 workers of 10 for evacuation
[2026-04-03T06:30:05.943+0600][5.771s][info][gc,phases   ] GC(13)   Pre Evacuate Collection Set: 0.31ms
[2026-04-03T06:30:05.943+0600][5.771s][info][gc,phases   ] GC(13)   Merge Heap Roots: 0.09ms
[2026-04-03T06:30:05.943+0600][5.771s][info][gc,phases   ] GC(13)   Evacuate Collection Set: 25.48ms
[2026-04-03T06:30:05.943+0600][5.771s][info][gc,phases   ] GC(13)   Post Evacuate Collection Set: 2.51ms
[2026-04-03T06:30:05.943+0600][5.771s][info][gc,phases   ] GC(13)   Other: 0.09ms
[2026-04-03T06:30:05.943+0600][5.771s][info][gc,heap     ] GC(13) Eden regions: 167->0(265)
[2026-04-03T06:30:05.943+0600][5.771s][info][gc,heap     ] GC(13) Survivor regions: 24->24(24)
[2026-04-03T06:30:05.943+0600][5.771s][info][gc,heap     ] GC(13) Old regions: 67->80
[2026-04-03T06:30:05.943+0600][5.771s][info][gc,heap     ] GC(13) Humongous regions: 0->0
[2026-04-03T06:30:05.943+0600][5.771s][info][gc,metaspace] GC(13) Metaspace: 8871K(9088K)->8871K(9088K) NonClass: 8027K(8128K)->8027K(8128K) Class: 843K(960K)->843K(960K)
[2026-04-03T06:30:05.943+0600][5.771s][info][gc          ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 514M->204M(966M) 28.736ms
[2026-04-03T06:30:05.943+0600][5.771s][info][gc,cpu      ] GC(13) User=0.25s Sys=0.01s Real=0.02s
[2026-04-03T06:30:06.808+0600][6.637s][info][gc,start    ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T06:30:06.808+0600][6.637s][info][gc,task     ] GC(14) Using 10 workers of 10 for evacuation
[2026-04-03T06:30:06.850+0600][6.678s][info][gc,phases   ] GC(14)   Pre Evacuate Collection Set: 0.34ms
[2026-04-03T06:30:06.850+0600][6.678s][info][gc,phases   ] GC(14)   Merge Heap Roots: 0.22ms
[2026-04-03T06:30:06.850+0600][6.678s][info][gc,phases   ] GC(14)   Evacuate Collection Set: 40.02ms
[2026-04-03T06:30:06.850+0600][6.678s][info][gc,phases   ] GC(14)   Post Evacuate Collection Set: 0.83ms
[2026-04-03T06:30:06.850+0600][6.678s][info][gc,phases   ] GC(14)   Other: 0.25ms
[2026-04-03T06:30:06.850+0600][6.679s][info][gc,heap     ] GC(14) Eden regions: 265->0(259)
[2026-04-03T06:30:06.850+0600][6.679s][info][gc,heap     ] GC(14) Survivor regions: 24->30(37)
[2026-04-03T06:30:06.850+0600][6.679s][info][gc,heap     ] GC(14) Old regions: 80->92
[2026-04-03T06:30:06.850+0600][6.679s][info][gc,heap     ] GC(14) Humongous regions: 0->0
[2026-04-03T06:30:06.850+0600][6.679s][info][gc,metaspace] GC(14) Metaspace: 8929K(9152K)->8929K(9152K) NonClass: 8085K(8192K)->8085K(8192K) Class: 843K(960K)->843K(960K)
[2026-04-03T06:30:06.850+0600][6.679s][info][gc          ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 734M->243M(966M) 42.003ms
[2026-04-03T06:30:06.850+0600][6.679s][info][gc,cpu      ] GC(14) User=0.45s Sys=0.00s Real=0.04s
[2026-04-03T06:30:07.353+0600][7.182s][info][gc,start    ] GC(15) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-03T06:30:07.354+0600][7.182s][info][gc,task     ] GC(15) Using 10 workers of 10 for evacuation
[2026-04-03T06:30:07.391+0600][7.219s][info][gc,phases   ] GC(15)   Pre Evacuate Collection Set: 0.19ms
